,us_state,county,days_with_aqi2019,good_days2019,moderate_days2019,unhealthy_sensitive_days2019,unhealthy_days2019,very_unhealthy_days2019,hazardous_days2019,days_co2019,days_no2_2019,days_ozone2019,days_so2_2019,days_pm2_2019,days_pm10_2019,poverty_percentage2019,days_with_aqi2018,good_days2018,moderate_days2018,unhealthy_sensitive_days2018,unhealthy_days2018,very_unhealthy_days2018,hazardous_days2018,days_co2018,days_no2_2018,days_ozone2018,days_so2_2018,days_pm2_2018,days_pm10_2018,poverty_percentage2018,days_with_aqi2017,good_days2017,moderate_days2017,unhealthy_sensitive_days2017,unhealthy_days2017,very_unhealthy_days2017,hazardous_days2017,days_co2017,days_no2_2017,days_ozone2017,days_so2_2017,days_pm2_2017,days_pm10_2017,poverty_percentage2017,days_with_aqi2016,good_days2016,moderate_days2016,unhealthy_sensitive_days2016,unhealthy_days2016,very_unhealthy_days2016,hazardous_days2016,days_co2016,days_no2_2016,days_ozone2016,days_so2_2016,days_pm2_2016,days_pm10_2016,poverty_percentage2016,average_aqi_days,average_good_days,average_moderate_days,average_unhealthy_sensitive_days,average_unhealthy_days,average_very_unhealthy_days,average_hazardous_days,average_co_days,average_no2_days,average_ozone_days,average_so2_days,average_pm2_days,average_pm10_days,average_poverty_percentage,percent_pop_per_100k,cancer_classification
208,HI,Hawaii,365,357,8,0,0,0,0,0,0,0,52,313,0,9.01,365,127,68,66,99,5,0,0,0,0,221,144,0,15.6,365,6,58,132,167,2,0,0,0,0,356,9,0,15.01,366,1,54,128,181,1,1,0,0,0,353,13,0,15.4,365.25,122.75,47,81.5,111.75,2,0.25,0,0,0,245.5,119.75,0,13.755,12.38286342,low
209,HI,Hawaii,365,357,8,0,0,0,0,0,0,0,52,313,0,13.1,365,127,68,66,99,5,0,0,0,0,221,144,0,15.6,365,6,58,132,167,2,0,0,0,0,356,9,0,15.01,366,1,54,128,181,1,1,0,0,0,353,13,0,15.4,365.25,122.75,47,81.5,111.75,2,0.25,0,0,0,245.5,119.75,0,14.7775,12.38286342,low
210,HI,Honolulu,365,339,26,0,0,0,0,1,3,262,65,33,1,7.9,365,358,7,0,0,0,0,0,2,241,41,74,7,7.7,365,342,23,0,0,0,0,1,8,258,41,57,0,8.3,366,353,13,0,0,0,0,0,1,282,0,62,21,8.5,365.25,348,17.25,0,0,0,0,0.5,3.5,260.75,36.75,56.5,7.25,8.1,11.94499316,low
211,HI,Kauai,365,363,2,0,0,0,0,0,144,0,3,218,0,9.3,355,355,0,0,0,0,0,0,166,0,0,189,0,8.5,363,362,1,0,0,0,0,0,74,0,26,263,0,10.1,358,356,2,0,0,0,0,0,58,0,4,296,0,8.1,360.25,359,1.25,0,0,0,0,0,110.5,0,8.25,241.5,0,9,10.04477827,low
212,HI,Maui,362,347,11,3,1,0,0,0,0,0,0,362,0,10.7,361,357,4,0,0,0,0,0,0,0,0,361,0,8.6,364,355,9,0,0,0,0,0,0,0,0,364,0,10.01,366,348,17,1,0,0,0,0,0,0,0,366,0,9.5,363.25,351.75,10.25,1,0.25,0,0,0,0,0,0,363.25,0,9.7025,10.58344276,low
213,ID,Ada,365,317,48,0,0,0,0,0,8,240,0,112,5,9.4,365,283,75,7,0,0,0,3,0,267,0,91,4,9.7,365,234,109,18,4,0,0,3,15,242,0,102,3,10.8,366,283,76,7,0,0,0,0,24,270,0,62,10,10.8,365.25,279.25,77,8,1,0,0,1.5,11.75,254.75,0,91.75,5.5,10.175,10.16368495,low
214,ID,Bannock,365,344,21,0,0,0,0,0,0,0,152,135,78,13.5,365,305,56,2,2,0,0,0,0,0,143,162,60,13.8,365,271,87,3,4,0,0,0,0,0,86,251,28,14.2,366,317,49,0,0,0,0,0,0,0,80,249,37,16.8,365.25,309.25,53.25,1.25,1.5,0,0,0,0,0,115.25,199.25,50.75,14.575,7.731824284,low
215,ID,Benewah,364,242,111,9,2,0,0,0,0,0,0,364,0,15.4,361,219,129,11,2,0,0,0,0,0,0,361,0,14.7,365,206,129,20,8,1,1,0,0,0,0,365,0,14.3,366,257,101,7,1,0,0,0,0,0,0,366,0,18.01,364,231,117.5,11.75,3.25,0.25,0.25,0,0,0,0,364,0,15.6025,19.4561132,medium
216,ID,Blaine,314,313,1,0,0,0,0,0,0,0,0,314,0,7.2,363,327,33,3,0,0,0,0,0,0,0,363,0,7.01,220,203,12,4,1,0,0,0,0,0,0,220,0,8.5,113,98,15,0,0,0,0,0,0,0,0,113,0,9.8,252.5,235.25,15.25,1.75,0.25,0,0,0,0,0,0,252.5,0,8.1275,7.175646958,low
217,ID,Boise,365,290,72,2,1,0,0,0,0,0,0,365,0,11.6,365,237,122,6,0,0,0,0,0,0,0,365,0,12.8,365,272,83,6,2,2,0,0,0,0,0,365,0,12.1,363,309,48,5,1,0,0,0,0,0,0,363,0,13.6,364.5,277,81.25,4.75,1,0.5,0,0,0,0,0,364.5,0,12.525,18.33758345,medium
218,ID,Bonner,365,316,48,1,0,0,0,0,0,0,0,272,93,12.6,363,308,39,11,4,1,0,0,0,0,0,318,45,14.1,362,287,63,7,0,5,0,0,0,0,0,341,21,13.7,366,337,29,0,0,0,0,0,0,0,0,309,57,15.4,364,312,44.75,4.75,1,1.5,0,0,0,0,0,310,54,13.95,18.53284804,medium
219,ID,Bonneville,357,342,15,0,0,0,0,0,0,0,0,357,0,9.3,352,306,43,2,1,0,0,0,0,0,0,352,0,10.6,358,323,31,4,0,0,0,0,0,0,0,358,0,10.5,324,301,23,0,0,0,0,0,0,0,0,324,0,11.7,347.75,318,28,1.5,0.25,0,0,0,0,0,0,347.75,0,10.525,7.34821679,low
220,ID,Butte,361,348,13,0,0,0,0,0,0,359,0,2,0,14.6,363,313,47,3,0,0,0,0,0,354,0,9,0,15.1,347,309,35,3,0,0,0,0,0,329,0,18,0,16.9,362,347,14,1,0,0,0,0,0,359,0,3,0,18.2,358.25,329.25,27.25,1.75,0,0,0,0,0,350.25,0,8,0,16.2,,
221,ID,Canyon,365,311,54,0,0,0,0,0,0,0,0,274,91,10.1,365,283,77,5,0,0,0,0,0,0,0,290,75,11.5,365,260,88,13,4,0,0,0,0,0,0,319,46,15.5,366,256,106,4,0,0,0,0,0,0,0,346,20,15.1,365.25,277.5,81.25,5.5,1,0,0,0,0,0,0,307.25,58,13.05,10.67267785,low
222,ID,Caribou,330,326,2,2,0,0,0,0,0,0,330,0,0,10.1,363,362,1,0,0,0,0,0,0,0,363,0,0,8.9,339,337,2,0,0,0,0,0,0,0,339,0,0,9.1,357,355,2,0,0,0,0,0,0,0,357,0,0,11.3,347.25,345,1.75,0.5,0,0,0,0,0,0,347.25,0,0,9.85,9.314239143,low
223,ID,Custer,96,96,0,0,0,0,0,0,0,0,0,96,0,13.01,90,85,3,2,0,0,0,0,0,0,0,90,0,14.7,111,102,6,3,0,0,0,0,0,0,0,111,0,14.7,116,104,8,3,1,0,0,0,0,0,0,116,0,15.7,103.25,96.75,4.25,2,0.25,0,0,0,0,0,0,103.25,0,14.5275,18.40193705,medium
224,ID,Franklin,364,333,28,3,0,0,0,0,0,0,0,364,0,8.2,319,278,38,3,0,0,0,0,0,0,0,319,0,8.8,365,294,57,9,5,0,0,0,0,0,0,365,0,8.2,357,306,44,7,0,0,0,0,0,0,0,357,0,9.3,351.25,302.75,41.75,5.5,1.25,0,0,0,0,0,0,351.25,0,8.625,,
225,ID,Idaho,365,297,68,0,0,0,0,0,0,214,0,151,0,11.01,365,297,66,2,0,0,0,0,0,231,0,134,0,16.2,365,287,61,8,6,3,0,0,0,189,0,176,0,15.1,366,319,47,0,0,0,0,0,0,30,0,336,0,16.2,365.25,300,60.5,2.5,1.5,0.75,0,0,0,166,0,199.25,0,14.6275,17.19521482,low
226,ID,Idaho,365,297,68,0,0,0,0,0,0,214,0,151,0,13.8,365,297,66,2,0,0,0,0,0,231,0,134,0,16.2,365,287,61,8,6,3,0,0,0,189,0,176,0,15.1,366,319,47,0,0,0,0,0,0,30,0,336,0,16.2,365.25,300,60.5,2.5,1.5,0.75,0,0,0,166,0,199.25,0,15.325,17.19521482,low
227,ID,Jerome,353,353,0,0,0,0,0,0,0,0,0,353,0,14.2,320,287,28,5,0,0,0,0,0,0,0,320,0,12.5,287,255,26,5,1,0,0,0,0,0,0,287,0,13.7,199,199,0,0,0,0,0,0,0,0,0,199,0,16.01,289.75,273.5,13.5,2.5,0.25,0,0,0,0,0,0,289.75,0,14.1025,10.17838043,low
228,ID,Kootenai,355,318,37,0,0,0,0,0,0,0,0,355,0,10.01,331,272,49,5,4,1,0,0,0,0,0,331,0,10.3,355,300,44,6,1,4,0,0,0,0,0,355,0,10.6,351,325,26,0,0,0,0,0,0,0,0,351,0,14.5,348,303.75,39,2.75,1.25,1.25,0,0,0,0,0,348,0,11.3525,16.60410145,low
